RA,Dec,z_cl,N_mem,logMs,z_bcg,ID,
28.986067,-4.302998,1.028,15.471,12.103,-1.0,C19a1sW00292,
29.039998,-2.956288,0.2303,14.763,12.133,-1.0,C19a1sW00293,
29.044585,-5.398196,0.1082,11.842,12.114,-1.0,C19a1sW00294,
29.061075,-3.277842,0.318,12.473,12.134,0.31107,C19a1sW00295,
29.173192,-4.711299,0.158,10.034,12.176,-1.0,C19a1sW00296,
29.187615,-3.213785,0.61,12.031,12.247,0.61102,C19a1sW00297,
29.197201,-4.495606,1.1683,15.198,12.702,-1.0,C19a1sW00298,
29.204004,-1.576946,1.2221,12.21,12.142,-1.0,C19a1sW00299,
29.209943,-1.314653,0.74,10.728,12.218,-1.0,C19a1sW00300,
29.220925,-6.14186,0.89,10.907,11.796,-1.0,C19a1sW00301,
29.226423,-4.407102,0.138,30.982,12.421,-1.0,C19a1sW00302,
29.235261,-2.044235,0.6596,12.768,12.192,-1.0,C19a1sW00303,
29.260205,-4.570067,0.7426,37.15,12.74,0.74411,C19a1sW00304,
29.276575,-2.974386,0.65,10.136,12.172,0.66052,C19a1sW00305,
29.27752,-2.393148,0.2341,22.006,12.285,-1.0,C19a1sW00306,
29.279904,-2.337359,0.4427,18.506,12.233,-1.0,C19a1sW00307,
29.280427,-4.286642,0.996,16.199,12.338,-1.0,C19a1sW00308,
29.286701,-2.050723,0.3255,10.318,12.027,0.33944,C19a1sW00309,
29.290461,-1.504192,0.108,10.868,11.876,-1.0,C19a1sW00310,
29.293714,-2.847776,1.0271,10.826,12.236,-1.0,C19a1sW00311,
29.32638,-3.612249,0.562,12.326,12.216,0.55997,C19a1sW00312,
29.337429,-2.204823,0.6603,14.216,12.384,0.65538,C19a1sW00313,
29.33864,-2.718191,0.1784,32.031,12.495,0.17244,C19a1sW00314,
29.338671,-2.335458,0.66,10.837,12.501,-1.0,C19a1sW00315,
29.343179,-1.384362,0.546,24.59,12.398,-1.0,C19a1sW00316,
29.347463,-1.42634,0.7442,33.388,12.65,0.76718,C19a1sW00317,
29.352896,-2.832547,0.868,20.187,12.326,-1.0,C19a1sW00318,
29.354748,-2.446224,0.7561,15.319,12.34,0.72459,C19a1sW00319,
29.36086,-2.065357,0.7017,10.522,12.15,-1.0,C19a1sW00320,
29.363508,-1.39713,0.22,29.839,12.428,0.215,C19a1sW00321,
29.37705,-1.124823,0.4721,26.595,12.481,0.47129,C19a1sW00322,
29.380427,-0.814645,0.242,13.309,12.193,0.23745,C19a1sW00323,
29.381925,-3.408147,0.7804,15.619,12.218,0.77686,C19a1sW00324,
29.394445,-3.897924,0.624,29.635,12.512,0.63741,C19a1sW00325,
29.434672,-3.080513,0.1731,21.922,12.219,-1.0,C19a1sW00326,
29.437363,-5.064353,0.304,23.012,12.536,-1.0,C19a1sW00327,
29.442938,-1.371481,0.4576,13.367,12.149,-1.0,C19a1sW00328,
29.450431,-1.153462,0.5456,22.69,12.428,0.54295,C19a1sW00329,
29.469565,-1.39866,1.0139,10.569,12.083,-1.0,C19a1sW00330,
29.471313,-2.484038,0.476,12.533,12.256,0.47757,C19a1sW00331,
29.477677,-5.354545,0.3,17.431,12.273,-1.0,C19a1sW00332,
29.477693,-0.953137,0.5444,20.081,12.589,0.51345,C19a1sW00333,
29.485357,-3.842694,0.972,21.586,12.414,-1.0,C19a1sW00334,
29.491982,-2.486355,0.3796,15.3,12.182,0.38864,C19a1sW00335,
29.495105,-3.072572,0.5472,11.374,11.973,-1.0,C19a1sW00336,
29.498949,-4.010984,0.552,13.663,12.2,-1.0,C19a1sW00337,
29.505326,-2.740448,0.72,19.344,12.213,-1.0,C19a1sW00338,
29.508253,-3.632412,0.905,12.993,11.912,-1.0,C19a1sW00339,
29.536323,-3.390034,0.5483,10.741,11.988,-1.0,C19a1sW00340,
29.5779,-5.822239,0.6418,12.391,12.131,-1.0,C19a1sW00341,
29.580396,-2.962766,1.0137,10.816,12.187,-1.0,C19a1sW00342,
29.58177,-4.334113,1.148,12.525,12.265,-1.0,C19a1sW00343,
29.582527,-3.699728,0.1346,12.985,12.141,0.15392,C19a1sW00344,
29.586171,-1.758806,1.16,16.605,12.275,-1.0,C19a1sW00345,
29.588993,-2.84163,0.48,13.207,12.256,0.47739,C19a1sW00346,
29.607963,-1.777593,0.1625,54.471,12.677,0.16327,C19a1sW00347,
29.613389,-3.64471,1.1499,14.968,12.336,-1.0,C19a1sW00348,
29.622497,-2.263354,0.447,21.909,12.425,0.44131,C19a1sW00349,
29.634241,-6.02315,0.8919,13.983,12.203,-1.0,C19a1sW00350,
29.63555,-4.19493,0.4376,10.61,12.281,0.43742,C19a1sW00351,
29.650927,-1.283361,0.174,16.155,12.37,-1.0,C19a1sW00352,
29.655232,-1.89705,0.7628,14.079,12.45,-1.0,C19a1sW00353,
29.655484,-5.376534,0.8244,27.566,12.477,-1.0,C19a1sW00354,
29.678144,-4.407644,0.9664,16.304,12.413,-1.0,C19a1sW00355,
29.684582,-5.645053,0.5079,17.179,12.264,-1.0,C19a1sW00356,
29.726377,-5.230387,1.008,11.553,12.248,-1.0,C19a1sW00357,
29.734504,-3.914647,0.2243,10.554,12.033,-1.0,C19a1sW00358,
29.759144,-5.173553,0.352,25.321,12.327,-1.0,C19a1sW00359,
