#   RA         Dec     z_cl    N_mem logMs  z_bcg    ID
 28.883183  -3.118780 0.4575  11.135 11.974 0.45594 C19a1nW00314
 28.952895  -2.372073 1.2781  14.396 12.289 -1.0    C19a1nW00315
 28.962454  -4.302675 1.0787  15.196 12.078 -1.0    C19a1nW00316
 28.980419  -2.993564 0.7359  10.614 12.071 -1.0    C19a1nW00317
 28.991334  -5.350810 0.9860  14.468 12.276 -1.0    C19a1nW00318
 29.008987  -3.271392 0.8985  18.183 12.406 0.90731 C19a1nW00319
 29.039998  -2.956288 0.2304  14.661 12.137 -1.0    C19a1nW00320
 29.061075  -3.277842 0.3180  12.166 12.158 0.31107 C19a1nW00321
 29.176398  -5.212350 0.7319  11.069 12.003 -1.0    C19a1nW00322
 29.197201  -4.495606 1.1660  15.318 12.713 -1.0    C19a1nW00323
 29.204004  -1.576946 1.2250  11.787 12.137 -1.0    C19a1nW00324
 29.206027  -3.212609 0.6100  15.811 12.367 -1.0    C19a1nW00325
 29.209943  -1.314653 0.7400  10.163 12.218 -1.0    C19a1nW00326
 29.215249  -2.252386 0.6900  12.369 12.423 0.64763 C19a1nW00327
 29.218874  -1.696246 0.5270  16.688 12.246 0.50566 C19a1nW00328
 29.220925  -6.141860 0.8900  10.915 11.796 -1.0    C19a1nW00329
 29.226423  -4.407102 0.1420  38.368 12.523 -1.0    C19a1nW00330
 29.235261  -2.044235 0.6595  12.295 12.191 -1.0    C19a1nW00331
 29.260205  -4.570067 0.7426  36.863 12.740 0.74411 C19a1nW00332
 29.277520  -2.393148 0.2341  21.648 12.285 -1.0    C19a1nW00333
 29.279904  -2.337359 0.4430  17.965 12.231 -1.0    C19a1nW00334
 29.280427  -4.286642 0.9960  16.763 12.367 -1.0    C19a1nW00335
 29.286701  -2.050723 0.3255  11.361 12.040 0.33944 C19a1nW00336
 29.293714  -2.847776 1.0268  10.918 12.235 -1.0    C19a1nW00337
 29.303268  -1.213737 0.9773  11.767 12.092 -1.0    C19a1nW00338
 29.303269  -1.214497 0.7275  10.582 12.187 -1.0    C19a1nW00339
 29.309789  -2.587483 0.8709  13.526 12.279 -1.0    C19a1nW00340
 29.326380  -3.612249 0.5620  12.309 12.216 0.55997 C19a1nW00341
 29.337429  -2.204823 0.6597  14.277 12.442 0.65538 C19a1nW00342
 29.338640  -2.718191 0.1783  36.060 12.520 0.17244 C19a1nW00343
 29.338671  -2.335458 0.6600  11.147 12.509 -1.0    C19a1nW00344
 29.343179  -1.384362 0.5460  24.923 12.407 -1.0    C19a1nW00345
 29.350722  -2.083281 0.7004  12.412 12.290 -1.0    C19a1nW00346
 29.352896  -2.832547 0.8680  20.304 12.380 -1.0    C19a1nW00347
 29.353327  -1.405113 0.7467  35.592 12.669 -1.0    C19a1nW00348
 29.354748  -2.446224 0.7562  15.655 12.370 0.72459 C19a1nW00349
 29.363508  -1.397130 0.2200  31.485 12.446 0.21500 C19a1nW00350
 29.370227  -1.543360 0.4460  12.532 12.035 -1.0    C19a1nW00351
 29.372263  -2.288211 0.4267  12.992 12.170 -1.0    C19a1nW00352
 29.373574  -1.945700 0.6740  10.033 12.166 -1.0    C19a1nW00353
 29.377050  -1.124823 0.4720  21.962 12.503 0.47129 C19a1nW00354
 29.380427  -0.814645 0.2408  12.392 12.190 0.23745 C19a1nW00355
 29.381081  -5.744588 0.7460  10.669 12.185 -1.0    C19a1nW00356
 29.381925  -3.408147 0.7803  15.135 12.223 0.77686 C19a1nW00357
 29.394445  -3.897924 0.6241  29.544 12.512 0.63741 C19a1nW00358
 29.411078  -1.143681 0.5440  30.932 12.568 0.49210 C19a1nW00359
